MatchID,Home Manager,Away Manager
1,George Graham,Mike Walker
2,Ian Porterfield,Joe Royle
3,Bobby Gould,Lennie Lawrence
4,Steve Coppell,Kenny Dalglish
5,Howard Kendall,Trevor Francis
6,John Lyall,Ron Atkinson
7,Howard Wilkinson,Joe Kinnear
8,Dave Bassett,Alex Ferguson
9,Ian Branfoot,Douglas Livemore
10,Brian Clough,Graeme Souness
11,Peter Reid,Gerry Francis
12,Kenny Dalglish,George Graham
13,Joe Kinnear,John Lyall
14,Ron Atkinson,Howard Wilkinson
15,Graeme Souness,Dave Bassett
16,Alex Ferguson,Howard Kendall
17,Lennie Lawrence,Peter Reid
18,Mike Walker,Ian Porterfield
19,Joe Royle,Steve Coppell
20,Gerry Francis,Ian Branfoot
21,Trevor Francis,Brian Clough
22,Douglas Livemore,Bobby Gould
23,Ron Atkinson,Ian Branfoot
24,Kenny Dalglish,Peter Reid
25,Alex Ferguson,John Lyall
26,Lennie Lawrence,Howard Wilkinson
27,Mike Walker,Howard Kendall
28,Joe Royle,Brian Clough
29,Gerry Francis,Dave Bassett
30,Trevor Francis,Ian Porterfield
31,Douglas Livemore,Steve Coppell
32,Joe Kinnear,Bobby Gould
33,Graeme Souness,George Graham
34,Ian Branfoot,Alex Ferguson
35,Steve Coppell,Trevor Francis
36,Howard Kendall,Ron Atkinson
37,John Lyall,Graeme Souness
38,Howard Wilkinson,Douglas Livemore
39,Dave Bassett,Joe Kinnear
40,George Graham,Joe Royle
41,Ian Porterfield,Kenny Dalglish
42,Bobby Gould,Gerry Francis
43,Peter Reid,Mike Walker
44,Brian Clough,Lennie Lawrence
45,George Graham,Trevor Francis
46,Ian Porterfield,Gerry Francis
47,Bobby Gould,Kenny Dalglish
48,Steve Coppell,Mike Walker
49,Howard Kendall,Joe Kinnear
50,Howard Wilkinson,Graeme Souness
51,Peter Reid,Joe Royle
52,Brian Clough,Alex Ferguson
53,Dave Bassett,Ron Atkinson
54,Ian Branfoot,Lennie Lawrence
55,John Lyall,Douglas Livemore
56,Mike Walker,Brian Clough
57,Graeme Souness,Ian Branfoot
58,Lennie Lawrence,John Lyall
59,Joe Royle,Howard Wilkinson
60,Joe Kinnear,Peter Reid
61,Ron Atkinson,Ian Porterfield
62,Alex Ferguson,Steve Coppell
63,Gerry Francis,George Graham
64,Trevor Francis,Bobby Gould
65,Douglas Livemore,Dave Bassett
66,Kenny Dalglish,Howard Kendall
67,Ron Atkinson,Steve Coppell
