matchID,Minute,Scoring Team,Scoring Player,Home Score,Away Score,diff,Point Changer
1,28,home,Stephen Bould,1,0,1,no
1,39,home,Kevin Campbell,2,0,2,no
1,69,away,Mark Robins,2,1,-1,no
1,72,away,David Phillips,2,2,0,no
1,82,away,Ruel Fox,2,3,1,no
1,84,away,Mark Robins,2,4,2,no
2,84,home,Mick Harford,1,0,1,no
2,86,away,Nick Henry,1,1,0,no
3,9,home,John Williams,1,0,1,no
3,51,home,David Smith,2,0,2,no
3,63,away,Paul Wilkinson,2,1,-1,no
4,37,home,Mark Bright,1,0,1,no
4,42,away,Stuart Ripley,1,1,0,no
4,63,home,Gareth Southgate,2,1,1,no
4,66,away,Alan Shearer,2,2,0,no
4,81,away,Alan Shearer,2,3,1,no
4,90,home,Simon Osborn,3,3,0,yes
5,15,away,Nigel Pearson,0,1,1,no
5,44,home,Barry Horne,1,1,0,no
6,31,home,Gavin Johnson,1,0,1,no
6,84,away,Dalian Atkinson,1,1,0,no
7,14,home,Lee Chapman,1,0,1,no
7,76,away,Warren Barton,1,1,0,no
7,86,home,Lee Chapman,2,1,1,no
8,5,home,Brian Deane,1,0,1,no
8,50,home,Brian Deane,2,0,2,no
8,61,away,Mark Hughes,2,1,-1,no
10,29,home,Teddy Sheringham,1,0,1,no
11,37,home,David White,1,0,1,no
11,47,away,Andy Sinton,1,1,0,no
12,84,home,Alan Shearer,1,0,1,no
13,37,away,Gavin Johnson,0,1,1,no
14,77,home,Dalian Atkinson,1,0,1,no
14,84,away,Gary Speed,1,1,0,no
15,35,away,Brian Deane,0,1,1,no
15,43,home,Mark Walters,1,1,0,no
15,65,home,Paul Stewart,2,1,1,no
16,45,away,Peter Beardsley,0,1,1,no
16,80,away,Robert Warzycha,0,2,2,no
16,90,away,Mo Johnston,0,3,3,no
17,15,home,Bernie Slaven,1,0,1,no
17,17,home,Bernie Slaven,2,0,2,no
18,15,away,Graham Stuart,0,1,1,no
18,57,home,David Phillips,1,1,0,no
18,59,home,Mark Robins,2,1,1,no
19,16,home,Graeme Sharp,1,0,1,no
19,50,away,Eddie McGoldrick,1,1,0,no
20,31,away,Matt Le Tissier,0,1,1,no
20,58,home,Les Ferdinand,1,1,0,no
20,70,home,David Bardsley,2,1,1,no
20,86,home,Les Ferdinand,3,1,2,no
21,16,home,David Hirst,1,0,1,no
21,78,home,David Hirst,2,0,2,no
22,4,away,John Williams,0,1,1,no
22,29,away,John Williams,0,2,2,no
23,64,home,Dalian Atkinson,1,0,1,no
23,79,away,Micky Adams,1,1,0,no
24,69,home,Mike Newell,1,0,1,no
25,56,away,Chris Kiwomya,0,1,1,no
25,57,home,Denis Irwin,1,1,0,no
26,7,home,Paul Wilkinson,1,0,1,no
26,8,home,Paul Wilkinson,2,0,2,no
26,47,home,Tommy Wright,3,0,3,no
26,59,home,John Hendrie,4,0,4,no
26,68,away,Eric Cantona,4,1,-3,no
27,55,away,Peter Beardsley,0,1,1,no
27,67,home,Ruel Fox,1,1,0,no
28,31,home,Neil Adams,1,0,1,no
28,38,home,Graeme Sharp,2,0,2,no
28,43,home,Nick Henry,3,0,3,no
28,46,home,Gunnar Halle,4,0,4,no
28,59,home,Paul Bernard,5,0,5,no
28,66,away,Stuart Pearce,5,1,-4,no
28,86,away,Gary Bannister,5,2,-3,no
28,88,away,Gary Bannister,5,3,-2,no
29,3,home,Les Ferdinand,1,0,1,no
29,4,away,Alan Cork,1,1,0,no
29,14,home,Simon Barker,2,1,1,no
29,63,away,Brian Deane,2,2,0,no
29,84,home,Dennis Bailey,3,2,1,no
30,27,home,David Hirst,1,0,1,no
30,37,home,David Hirst,2,0,2,no
30,49,away,Vinnie Jones,2,1,-1,no
30,57,away,Graham Stuart,2,2,0,no
30,64,away,Eddie Newton,2,3,1,no
30,81,home,Danny Wilson,3,3,0,no
31,16,home,Gordon Durie,1,0,1,no
31,21,away,Eddie McGoldrick,1,1,0,no
31,80,away,Eric Young,1,2,1,no
31,88,home,Steve Sedgley,2,2,0,no
32,13,away,Micky Gynn,0,1,1,no
32,46,away,Robert Rosario,0,2,2,no
32,73,home,Dean Holdsworth,1,2,-1,no
33,53,away,Anders Limpar,0,1,1,no
33,80,away,Ian Wright,0,2,2,no
34,89,away,Dion Dublin,0,1,1,no
35,41,home,Eric Young,1,0,1,no
35,66,away,Paul Williams,1,1,0,no
36,88,home,Mo Johnston,1,0,1,no
37,39,away,Mark Walters,0,1,1,no
37,56,home,Jason Dozzell,1,1,0,no
37,70,away,Jan Mlby,1,2,1,no
37,90,home,Chris Kiwomya,2,2,0,yes
38,19,home,Rodney Wallace,1,0,1,no
38,26,home,Eric Cantona,2,0,2,no
38,31,home,Eric Cantona,3,0,3,no
38,46,home,Eric Cantona,4,0,4,no
38,66,home,Lee Chapman,5,0,5,no
39,34,away,Warren Barton,0,1,1,no
39,48,home,Paul Beesley,1,1,0,no
39,67,home,Glyn Hodges,2,1,1,no
39,74,away,Dean Holdsworth,2,2,0,no
40,25,home,Nigel Winterburn,1,0,1,no
40,31,home,Ian Wright,2,0,2,no
42,45,away,Andy Impey,0,1,1,no
43,45,home,David White,1,0,1,no
43,58,away,Gary Megson,1,1,0,no
43,80,home,David White,2,1,1,no
43,90,home,Steve McMahon,3,1,2,no
44,66,home,Kingsley Black,1,0,1,no
45,8,home,Ray Parlour,1,0,1,no
45,27,home,Paul Merson,2,0,2,no
45,33,away,David Hirst,2,1,-1,no
46,69,home,Mick Harford,1,0,1,no
47,69,away,Alan Shearer,0,1,1,no
47,79,away,Mark Atkins,0,2,2,no
48,16,away,Lee Power,0,1,1,no
48,20,home,Eddie McGoldrick,1,1,0,no
48,74,away,David Phillips,1,2,1,no
